Timestamp,Relative Time (s),CPU Usage (%),Memory Usage (Mo),Memory Usage (%),Disk Read (Mo/s),Disk Write (Mo/s),Network (Ko/s),CPU Temperature (°C),Encrypted Files,Encrypted Disk Usage (%),Encryption Speed (o/s)
19:59:41.710,237.71,0.5,631.03,21.3,0.0,0.0,0.0,63.3,1417,39.27,0
19:59:42.820,238.82,0.0,630.54,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:59:43.940,239.94,0.0,630.54,21.3,0.0,0.04,0.0,62.8,1417,39.27,0
19:59:45.050,241.05,0.0,630.53,21.3,0.0,0.01,0.0,62.8,1417,39.27,0
19:59:46.170,242.17,0.0,630.53,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:59:47.370,243.37,0.0,630.53,21.3,0.0,0.0,0.0,61.8,1417,39.27,0
19:59:48.530,244.53,0.0,630.53,21.3,0.0,0.0,0.0,62.3,1417,39.27,0
19:59:49.640,245.64,0.0,630.29,21.3,0.0,0.0,0.0,62.3,1417,39.27,0
19:59:50.760,246.76,0.0,630.29,21.3,0.0,0.0,0.0,62.3,1417,39.27,0
19:59:51.870,247.87,0.0,630.29,21.3,0.0,0.01,0.0,62.8,1417,39.27,0
