Timestamp,Voltage (V),Voltage Adjusted (V),Current (A),Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
02:47:25.892,2.43,0.02,0.17,0.86,145.104,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:26.878,2.43,0.02,0.17,0.86,146.09,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:27.898,2.43,0.02,0.17,0.86,147.11,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:28.886,2.44,0.03,0.27,1.35,148.098,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:29.875,2.44,0.02,0.22,1.11,149.087,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:30.894,2.44,0.03,0.27,1.35,150.106,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:31.882,2.43,0.02,0.17,0.86,151.094,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:32.902,2.44,0.03,0.27,1.35,152.114,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:33.887,2.44,0.02,0.22,1.11,153.099,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:34.905,2.44,0.02,0.22,1.11,154.117,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:35.891,2.44,0.02,0.22,1.11,155.103,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:36.878,2.43,0.02,0.17,0.86,156.09,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:37.897,2.43,0.02,0.17,0.86,157.109,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:38.882,2.43,0.02,0.17,0.86,158.094,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:39.902,2.43,0.02,0.17,0.86,159.114,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:40.886,2.43,0.02,0.17,0.86,160.098,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:41.905,2.44,0.02,0.22,1.11,161.117,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:42.890,2.45,0.03,0.32,1.6,162.102,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:43.913,2.44,0.03,0.27,1.35,163.125,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:44.900,2.43,0.01,0.12,0.62,164.112,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:45.888,2.44,0.02,0.22,1.11,165.1,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:46.909,2.44,0.02,0.22,1.11,166.121,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:47.895,2.44,0.03,0.27,1.35,167.107,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:48.913,2.43,0.02,0.17,0.86,168.125,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:49.899,2.46,0.05,0.47,2.33,169.111,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:50.921,2.44,0.03,0.27,1.35,170.133,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:51.909,2.45,0.03,0.32,1.6,171.121,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:52.899,2.44,0.02,0.22,1.11,172.111,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
