Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
03:35:08.497,46.2,28.6,2.66511,188.21,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:09.719,45.2,14.3,2.68412,189.432,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:10.937,45.2,16.7,2.63045,190.65,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:12.158,45.7,42.9,2.68197,191.871,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:13.377,44.8,33.3,2.66301,193.09,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:14.600,44.8,37.5,2.67422,194.313,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:15.824,44.8,33.4,2.67492,195.537,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:17.053,45.7,44.4,2.69057,196.766,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:18.271,45.7,37.5,2.65081,197.984,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:19.463,46.7,33.3,2.65996,199.176,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:20.652,46.2,33.3,2.66921,200.365,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:21.842,46.2,25.0,2.67201,201.555,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:23.033,47.2,20.0,2.67977,202.746,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:24.252,46.7,42.9,2.69322,203.965,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:25.484,46.2,28.6,2.66151,205.197,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:26.708,45.7,37.5,2.68692,206.421,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:27.937,45.7,37.5,2.66056,207.65,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:29.164,45.7,16.7,2.6176,208.877,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:30.391,46.2,37.5,2.66461,210.104,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:31.610,46.7,42.9,2.69222,211.323,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:32.828,46.2,33.3,2.64446,212.541,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:34.049,45.7,42.9,2.68057,213.762,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:35.270,46.7,42.9,2.67597,214.983,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
